Subject ID	Slice Order Type	S2: Slice Order Type	S3: Slice Order Type
Sub001	Sub001_S1_SliceOrder.txt	Sub001_S2_SliceOrder.txt	Sub001_S3_SliceOrder.txt
Sub002	Sub002_S1_SliceOrder.txt	Sub002_S2_SliceOrder.txt	Sub002_S3_SliceOrder.txt
Sub003	Sub003_S1_SliceOrder.txt	Sub003_S2_SliceOrder.txt	Sub003_S3_SliceOrder.txt
Sub004	Sub004_S1_SliceOrder.txt	Sub004_S2_SliceOrder.txt	Sub004_S3_SliceOrder.txt
Sub005	Sub005_S1_SliceOrder.txt	Sub005_S2_SliceOrder.txt	Sub005_S3_SliceOrder.txt
Sub006	Sub006_S1_SliceOrder.txt	Sub006_S2_SliceOrder.txt	Sub006_S3_SliceOrder.txt
Sub007	Sub007_S1_SliceOrder.txt	Sub007_S2_SliceOrder.txt	Sub007_S3_SliceOrder.txt
Sub008	Sub008_S1_SliceOrder.txt	Sub008_S2_SliceOrder.txt	Sub008_S3_SliceOrder.txt
Sub009	Sub009_S1_SliceOrder.txt	Sub009_S2_SliceOrder.txt	Sub009_S3_SliceOrder.txt
Sub010	Sub010_S1_SliceOrder.txt	Sub010_S2_SliceOrder.txt	Sub010_S3_SliceOrder.txt
Sub011	Sub011_S1_SliceOrder.txt	Sub011_S2_SliceOrder.txt	Sub011_S3_SliceOrder.txt
Sub012	Sub012_S1_SliceOrder.txt	Sub012_S2_SliceOrder.txt	Sub012_S3_SliceOrder.txt
Sub013	Sub013_S1_SliceOrder.txt	Sub013_S2_SliceOrder.txt	Sub013_S3_SliceOrder.txt
Sub014	Sub014_S1_SliceOrder.txt	Sub014_S2_SliceOrder.txt	Sub014_S3_SliceOrder.txt
Sub015	Sub015_S1_SliceOrder.txt	Sub015_S2_SliceOrder.txt	Sub015_S3_SliceOrder.txt
Sub016	Sub016_S1_SliceOrder.txt	Sub016_S2_SliceOrder.txt	Sub016_S3_SliceOrder.txt
Sub017	Sub017_S1_SliceOrder.txt	Sub017_S2_SliceOrder.txt	Sub017_S3_SliceOrder.txt
Sub018	Sub018_S1_SliceOrder.txt	Sub018_S2_SliceOrder.txt	Sub018_S3_SliceOrder.txt
Sub019	Sub019_S1_SliceOrder.txt	Sub019_S2_SliceOrder.txt	Sub019_S3_SliceOrder.txt
Sub020	Sub020_S1_SliceOrder.txt	Sub020_S2_SliceOrder.txt	Sub020_S3_SliceOrder.txt
Sub021	Sub021_S1_SliceOrder.txt	Sub021_S2_SliceOrder.txt	Sub021_S3_SliceOrder.txt
Sub022	Sub022_S1_SliceOrder.txt	Sub022_S2_SliceOrder.txt	Sub022_S3_SliceOrder.txt
Sub023	Sub023_S1_SliceOrder.txt	Sub023_S2_SliceOrder.txt	Sub023_S3_SliceOrder.txt
Sub024	Sub024_S1_SliceOrder.txt	Sub024_S2_SliceOrder.txt	Sub024_S3_SliceOrder.txt
Sub025	Sub025_S1_SliceOrder.txt	Sub025_S2_SliceOrder.txt	Sub025_S3_SliceOrder.txt
Sub026	Sub026_S1_SliceOrder.txt	Sub026_S2_SliceOrder.txt	Sub026_S3_SliceOrder.txt
Sub027	Sub027_S1_SliceOrder.txt	Sub027_S2_SliceOrder.txt	Sub027_S3_SliceOrder.txt
Sub028	Sub028_S1_SliceOrder.txt	Sub028_S2_SliceOrder.txt	Sub028_S3_SliceOrder.txt
Sub029	Sub029_S1_SliceOrder.txt	Sub029_S2_SliceOrder.txt	Sub029_S3_SliceOrder.txt
Sub030	Sub030_S1_SliceOrder.txt	Sub030_S2_SliceOrder.txt	Sub030_S3_SliceOrder.txt
Sub031	Sub031_S1_SliceOrder.txt	Sub031_S2_SliceOrder.txt	Sub031_S3_SliceOrder.txt
Sub032	Sub032_S1_SliceOrder.txt	Sub032_S2_SliceOrder.txt	Sub032_S3_SliceOrder.txt
Sub033	Sub033_S1_SliceOrder.txt	Sub033_S2_SliceOrder.txt	Sub033_S3_SliceOrder.txt
Sub034	Sub034_S1_SliceOrder.txt	Sub034_S2_SliceOrder.txt	Sub034_S3_SliceOrder.txt
Sub035	Sub035_S1_SliceOrder.txt	Sub035_S2_SliceOrder.txt	Sub035_S3_SliceOrder.txt
Sub036	Sub036_S1_SliceOrder.txt	Sub036_S2_SliceOrder.txt	Sub036_S3_SliceOrder.txt
Sub037	Sub037_S1_SliceOrder.txt	Sub037_S2_SliceOrder.txt	Sub037_S3_SliceOrder.txt
Sub038	Sub038_S1_SliceOrder.txt	Sub038_S2_SliceOrder.txt	Sub038_S3_SliceOrder.txt
Sub039	Sub039_S1_SliceOrder.txt	Sub039_S2_SliceOrder.txt	Sub039_S3_SliceOrder.txt
Sub040	Sub040_S1_SliceOrder.txt	Sub040_S2_SliceOrder.txt	Sub040_S3_SliceOrder.txt
Sub042	Sub042_S1_SliceOrder.txt	Sub042_S2_SliceOrder.txt	Sub042_S3_SliceOrder.txt
