study	n1	n2
Alexopoulos2012	16	10
Andreescu2013	47	46
Berman2011	15	15
Bluhm2009	14	15
Connolly2013	30	45
Crowther2015	23	20
Davey2012	18	20
DeKwaasteniet2013	18	24
Evans2018	33	25
GoyaMaldonado2016	20	20
Greicius2007	28	20
Knyazev2018	41	23
Liston2014	17	35
Manoliu2014	25	25
Pannekoek2015	37	48
Parlar2017	21	20
Sambataro2014	20	20
Sawaya2015	21	21
Schilbach2016	102	106
Straub2017	19	19
vanTol2014	20	20
Chen2015	38	38
Deng2016	29	29
Guo2014	24	24
Kim2016	22	20
Lui2011	32	48
Peng2012	16	16
Peng2015	16	16
Wang2017	23	25
Zhou2010	20	18
Zhu2012	35	35
Zhu2017	31	32
